Kernel Density Estimator
Molecularity	Frequency
9.000000	0.001396
10.000000	0.001442
11.000000	0.001489
12.000000	0.001538
13.000000	0.001587
14.000000	0.001638
15.000000	0.001690
16.000000	0.001743
17.000000	0.001798
18.000000	0.001854
19.000000	0.001910
20.000000	0.001969
21.000000	0.002028
22.000000	0.002088
23.000000	0.002150
24.000000	0.002213
25.000000	0.002277
26.000000	0.002343
27.000000	0.002409
28.000000	0.002477
29.000000	0.002546
30.000000	0.002616
31.000000	0.002687
32.000000	0.002759
33.000000	0.002832
34.000000	0.002907
35.000000	0.002982
36.000000	0.003059
37.000000	0.003136
38.000000	0.003214
39.000000	0.003294
40.000000	0.003374
41.000000	0.003455
42.000000	0.003537
43.000000	0.003619
44.000000	0.003703
45.000000	0.003787
46.000000	0.003871
47.000000	0.003957
48.000000	0.004042
49.000000	0.004129
50.000000	0.004215
51.000000	0.004302
52.000000	0.004390
53.000000	0.004477
54.000000	0.004565
55.000000	0.004653
56.000000	0.004741
57.000000	0.004829
58.000000	0.004917
59.000000	0.005005
60.000000	0.005093
61.000000	0.005180
62.000000	0.005267
63.000000	0.005354
64.000000	0.005440
65.000000	0.005526
66.000000	0.005611
67.000000	0.005695
68.000000	0.005779
69.000000	0.005861
70.000000	0.005943
71.000000	0.006023
72.000000	0.006103
73.000000	0.006181
74.000000	0.006258
75.000000	0.006334
76.000000	0.006409
77.000000	0.006481
78.000000	0.006553
79.000000	0.006622
80.000000	0.006690
81.000000	0.006756
82.000000	0.006821
83.000000	0.006883
84.000000	0.006944
85.000000	0.007002
86.000000	0.007058
87.000000	0.007112
88.000000	0.007164
89.000000	0.007214
90.000000	0.007261
91.000000	0.007306
92.000000	0.007348
93.000000	0.007388
94.000000	0.007425
95.000000	0.007460
96.000000	0.007492
97.000000	0.007521
98.000000	0.007547
99.000000	0.007571
100.000000	0.007592
101.000000	0.007610
102.000000	0.007626
103.000000	0.007638
104.000000	0.007648
105.000000	0.007655
106.000000	0.007659
107.000000	0.007660
108.000000	0.007658
109.000000	0.007653
110.000000	0.007645
111.000000	0.007635
112.000000	0.007621
113.000000	0.007605
114.000000	0.007586
115.000000	0.007564
116.000000	0.007539
117.000000	0.007511
118.000000	0.007481
119.000000	0.007448
120.000000	0.007412
121.000000	0.007374
122.000000	0.007333
123.000000	0.007289
124.000000	0.007243
125.000000	0.007194
126.000000	0.007144
127.000000	0.007090
128.000000	0.007035
129.000000	0.006977
130.000000	0.006917
131.000000	0.006855
132.000000	0.006791
133.000000	0.006724
134.000000	0.006656
135.000000	0.006586
136.000000	0.006515
137.000000	0.006441
138.000000	0.006366
139.000000	0.006290
140.000000	0.006212
141.000000	0.006133
142.000000	0.006052
143.000000	0.005970
144.000000	0.005887
145.000000	0.005803
146.000000	0.005718
147.000000	0.005632
148.000000	0.005545
149.000000	0.005457
150.000000	0.005369
151.000000	0.005280
152.000000	0.005191
153.000000	0.005101
154.000000	0.005011
155.000000	0.004920
156.000000	0.004829
157.000000	0.004739
158.000000	0.004648
159.000000	0.004557
160.000000	0.004466
161.000000	0.004375
162.000000	0.004285
163.000000	0.004194
164.000000	0.004104
165.000000	0.004015
166.000000	0.003926
167.000000	0.003837
168.000000	0.003749
169.000000	0.003662
170.000000	0.003575
171.000000	0.003489
172.000000	0.003404
173.000000	0.003319
174.000000	0.003236
175.000000	0.003153
176.000000	0.003072
177.000000	0.002991
178.000000	0.002911
179.000000	0.002833
180.000000	0.002755
181.000000	0.002679
182.000000	0.002603
183.000000	0.002529
184.000000	0.002456
185.000000	0.002384
186.000000	0.002314
187.000000	0.002245
188.000000	0.002177
189.000000	0.002110
190.000000	0.002044
191.000000	0.001980
192.000000	0.001917
193.000000	0.001856
194.000000	0.001796
195.000000	0.001737
196.000000	0.001679
197.000000	0.001623
198.000000	0.001568
199.000000	0.001514
200.000000	0.001461
201.000000	0.001410
202.000000	0.001361
203.000000	0.001312
204.000000	0.001265
205.000000	0.001219
206.000000	0.001174
207.000000	0.001130
